title,stipend,location,skills required
Data Science Intern,30000-40000 INR/month,Bangalore,"Python, Pandas, Scikit-learn, SQL, Tableau"
Software Development Intern,50000 INR/month,Remote,"JavaScript, React, Node.js, Git, REST APIs"
Machine Learning Intern,45000 INR/month,Pune,"Python, TensorFlow, PyTorch, Computer Vision, NLP"
Marketing Intern,15000-20000 INR/month,Mumbai,"Social Media Marketing, SEO, Content Creation, Google Analytics"
UX/UI Design Intern,25000 INR/month,Hyderabad,"Figma, Sketch, Adobe XD, User Research, Prototyping"
Product Management Intern,Unpaid,New Delhi,"Market Research, Agile Methodologies, Product Strategy"
Financial Analyst Intern,20000 INR/month,Bangalore,"Financial Modeling, Excel, Data Analysis"
Content Writer Intern,10000-15000 INR/month,Remote,"SEO, Blog Writing, Copywriting, A/B Testing"
Data Analyst Intern,25000 INR/month,Chennai,"SQL, Power BI, Excel, Data Visualization"
Full Stack Developer Intern,35000 INR/month,Gurgaon,"JavaScript, Express.js, MongoDB, React"
Business Development Intern,20000 INR/month,Mumbai,"Sales, Communication, Lead Generation"
Mobile App Development Intern,40000 INR/month,Remote,"Dart, Flutter, Android, iOS, Firebase"
Cybersecurity Intern,30000 INR/month,Bangalore,"Network Security, Penetration Testing, Linux, Ethical Hacking"
Cloud Engineer Intern,45000 INR/month,Hyderabad,"AWS, Azure, Google Cloud, Docker, Kubernetes"
HR Intern,15000 INR/month,New Delhi,"Recruitment, Employee Relations, Communication"
Software Quality Assurance Intern,25000 INR/month,Pune,"Manual Testing, Automation Testing, Selenium, Jira"
Game Development Intern,30000 INR/month,Bangalore,"C++, Unity, Unreal Engine, Game Design"
Technical Writer Intern,18000 INR/month,Remote,"Documentation, API Documentation, Markdown"
Operations Intern,12000-18000 INR/month,Mumbai,"Logistics, Supply Chain Management, Project Management"
Public Relations Intern,15000 INR/month,New Delhi,"Press Releases, Media Relations, Social Media"
Web Development Intern,25000 INR/month,Remote,"HTML, CSS, JavaScript, Bootstrap"
Data Science Intern,35000 INR/month,Bangalore,"Python, Scikit-learn, R, SQL, NLP"
Software Development Intern,45000 INR/month,Hyderabad,"Java, Spring, Microservices, Git"
Machine Learning Intern,50000 INR/month,Pune,"Python, Keras, TensorFlow, Computer Vision"
Marketing Intern,18000 INR/month,Remote,"Email Marketing, Social Media Strategy, Content Marketing"
UX/UI Design Intern,28000 INR/month,Mumbai,"Adobe XD, Figma, User Flows, Wireframing"
Product Management Intern,20000 INR/month,New Delhi,"User Interviews, A/B Testing, Product Roadmap"
Financial Analyst Intern,22000 INR/month,Bangalore,"Excel, Financial Reporting, Valuation"
Content Writer Intern,12000 INR/month,Chennai,"Copywriting, SEO, Grammar"
Data Analyst Intern,28000 INR/month,Gurgaon,"SQL, Tableau, Python, Data Cleaning"
Full Stack Developer Intern,38000 INR/month,Remote,"Node.js, React, Express, MongoDB"
Mobile App Development Intern,42000 INR/month,Bangalore,"Flutter, Dart, Firebase, UI/UX"
Cybersecurity Intern,32000 INR/month,Hyderabad,"Network Security, Python, Linux"
Cloud Engineer Intern,48000 INR/month,Pune,"AWS, Docker, Kubernetes, Ansible"
HR Intern,16000 INR/month,Mumbai,"Recruitment, Employee Onboarding"
Software Quality Assurance Intern,28000 INR/month,Bangalore,"Selenium, TestNG, Java"
Game Development Intern,32000 INR/month,Chennai,"Unity, C#, Game Design"
Technical Writer Intern,20000 INR/month,New Delhi,"Documentation, Technical Communication"
Operations Intern,15000 INR/month,Gurgaon,"Logistics, Inventory Management"
Public Relations Intern,18000 INR/month,Mumbai,"Public Speaking, Social Media Management"
Web Development Intern,28000 INR/month,Hyderabad,"HTML, CSS, JavaScript, Tailwind CSS"
Data Science Intern,38000 INR/month,Remote,"Python, NLP, SQL, Machine Learning"
Software Development Intern,48000 INR/month,New Delhi,"Java, Spring Boot, REST APIs, Git"
Machine Learning Intern,52000 INR/month,Bangalore,"PyTorch, TensorFlow, Computer Vision, GANs"
Marketing Intern,Unpaid,Mumbai,"SEO, Social Media, Content Creation"
UX/UI Design Intern,30000 INR/month,Pune,"Figma, Prototyping, Usability Testing"
Product Management Intern,22000 INR/month,Hyderabad,"Agile, Scrum, Product Lifecycle"
Financial Analyst Intern,24000 INR/month,Gurgaon,"Excel, Financial Statements, Budgeting"
Content Writer Intern,14000 INR/month,Bangalore,"Technical Writing, SEO, Content Strategy"
Data Analyst Intern,30000 INR/month,Remote,"SQL, R, Power BI, Data Cleaning"
Full Stack Developer Intern,40000 INR/month,Chennai,"Python, Django, React, PostgreSQL"
Mobile App Development Intern,45000 INR/month,New Delhi,"Android, Kotlin, UI/UX"
Cybersecurity Intern,35000 INR/month,Mumbai,"Network Security, Kali Linux, Python"
Cloud Engineer Intern,50000 INR/month,Bangalore,"Azure, Docker, Kubernetes"
HR Intern,18000 INR/month,Hyderabad,"Recruitment, HR Policies"
Software Quality Assurance Intern,30000 INR/month,Pune,"Automation, Selenium, Java"
Game Development Intern,35000 INR/month,Gurgaon,"C#, Unity, Game Physics"
Technical Writer Intern,22000 INR/month,Remote,"Documentation, Technical Communication"
Operations Intern,16000 INR/month,Bangalore,"Supply Chain, Data Analysis"
Public Relations Intern,20000 INR/month,New Delhi,"Media Relations, Communication Skills"
Web Development Intern,30000 INR/month,Mumbai,"HTML, CSS, JavaScript, React"
Data Science Intern,40000 INR/month,Hyderabad,"Python, Pandas, SQL, Data Visualization"
Software Development Intern,52000 INR/month,Pune,"JavaScript, React, Node.js, Git"
Machine Learning Intern,55000 INR/month,Gurgaon,"Python, Scikit-learn, TensorFlow, Deep Learning"
Marketing Intern,20000 INR/month,Bangalore,"Social Media, SEO, Content Creation"
UX/UI Design Intern,32000 INR/month,Chennai,"Figma, Wireframing, User Research"
Product Management Intern,25000 INR/month,Mumbai,"Market Analysis, Product Roadmap"
Financial Analyst Intern,26000 INR/month,Remote,"Excel, Financial Modeling, Reporting"
Content Writer Intern,16000 INR/month,New Delhi,"Blog Writing, SEO, Grammar"
Data Analyst Intern,32000 INR/month,Hyderabad,"SQL, Tableau, Python, Data Cleaning"
Full Stack Developer Intern,42000 INR/month,Bangalore,"JavaScript, Express.js, MongoDB, React"
Mobile App Development Intern,48000 INR/month,Pune,"Flutter, Dart, Firebase, API Integration"
Cybersecurity Intern,38000 INR/month,Chennai,"Penetration Testing, Kali Linux"
Cloud Engineer Intern,52000 INR/month,Remote,"AWS, Terraform, Kubernetes"
HR Intern,20000 INR/month,Gurgaon,"Recruitment, Employee Onboarding"
Software Quality Assurance Intern,32000 INR/month,Bangalore,"Selenium, Automation, Java"
Game Development Intern,38000 INR/month,Mumbai,"Unity, C#, Game Design"
Technical Writer Intern,25000 INR/month,Hyderabad,"API Documentation, Markdown"
Operations Intern,18000 INR/month,Pune,"Logistics, Supply Chain"
Public Relations Intern,22000 INR/month,Gurgaon,"Public Speaking, Communication"
Web Development Intern,32000 INR/month,Bangalore,"HTML, CSS, JavaScript, Vue.js"
Data Science Intern,42000 INR/month,Chennai,"Python, Pandas, SQL, Data Visualization"
Software Development Intern,55000 INR/month,Remote,"Java, Spring Boot, Microservices"
Machine Learning Intern,58000 INR/month,New Delhi,"Python, TensorFlow, PyTorch"
Marketing Intern,Unpaid,Hyderabad,"Social Media, Content Marketing"
UX/UI Design Intern,35000 INR/month,Mumbai,"Figma, User Research, Prototyping"
Product Management Intern,28000 INR/month,Pune,"Product Strategy, Agile"
Financial Analyst Intern,28000 INR/month,Gurgaon,"Excel, Financial Modeling"
Content Writer Intern,18000 INR/month,Remote,"SEO, Blog Writing"
Data Analyst Intern,35000 INR/month,Bangalore,"SQL, Power BI, Python"
